"Aplicativo","DataAlteracao","Descricao","StatusCruzamento","VersaoProducaoListada","EnviadoProducaoEm","EnviadoProducaoPor","FonteProducao","Regra"
"ECF_WS.ZIP","04/09/2026 19:12:38","Ajustado BUG no F7 Origem_lcto estava tratando como Inteiro e deveria ser como String","Somado na versao em producao","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"ECF_WS.ZIP","09/09/2026 19:30:33","2178 - Configuração da Opção Padrão no “Questiona Tipo Impressão” foi Ajustado | 39 - Guilhotina dos Comprovantes TEF/Convênio no PDO foi Ajustado","Somado na versao em producao","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"ECF_WS.ZIP","14/09/2026 13:31:21","Ajustado para quando nao tiver um default de tipo de impressão, assumir 1 = Imprimir","Somado na versao em producao","14/09/2026 13:31:10","14/09/2026 14:07:17","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"MENU.ZIP","03/08/2026 19:39:02","Feito seguranca na emissao de danfe para situacao pendente | 184 - Relatorio Atendidos por Faixa de Horario adicionar danfe simplificada | 184 - Relatorio Markup por Data adicionar danfe simplificada","Somado na versao em producao","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"MENU.ZIP","07/08/2026 00:04:28","Perdia Conexao com BD quando enviava E-Mail nos relatorios antigos","Somado na versao em producao","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"MENU.ZIP","10/08/2026 18:21:02","Incluido submenu para Precificação Avançada e Simples","Somado na versao em producao","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"MENU.ZIP","13/08/2026 18:38:57","107 - Ajuste nos relatorios CR antigo.  Pagtos Atrasados, adicionado vlr multa + vlr_correcco + vlr_acrescimo + Juros na coluna acrescimos","Somado na versao em producao","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"MENU.ZIP","18/08/2026 13:39:03","184 - Relatorio Markup por Data adicionar danfe simplificada, ajustado para somar os 2 numa unica linha | Ajustado no Manutencao PDV  a opçao Abertura de Caixa no PDV. | Atualizar menu.zip e ecf_ws.zip","Somado na versao em producao","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"MENU.ZIP","28/08/2026 19:55:54","Na EMISSÃO DE NOTA FISCAL]Validação correta da soma de faturas criadas manualmente na emissão da NF-e, passado de float para currency | Ajustado Problema no Cadastro de Produtos, quando fizer insert default do CST sera branco agora | Ajustado Tratamento de exceção de banco de dados (EXC_ESTOQUE_INSUFICIENTE) na inclusão de item sem estoque em Pedidos de Saída | Ajustado Memorizar Layout de Grade (Robô do XML)","Somado na versao em producao","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
"MENU.ZIP","01/09/2026 15:18:30","Ajustadoo Relatório (Markup por Data) | Refeito Bloqueio de campos fiscais com Weber Tributário habilitado | Alterarado mensagem de except do Banco de Dados na Entrada de Notas | Ajustado Correção na chamada das Formulações de Estoque | Implementado chamada da entrada de notas em Y no Retaguarda(rodar menu senhaa)","Somado na versao em producao","10/09/2026 18:32:32","14/09/2026 08:58:19","FRANCISCO SCHWARZ MORAES","Portal Gerencial Weber - ultimas versoes beta","Mesmo aplicativo; alteracoes com data/hora menor ou igual ao envio para producao foram somadas; alteracoes posteriores viram proximos passos"
