"Aplicativo","Pasta","BaixaAtualizacaoBeta","VersaoListada","VersaoMinimaBanco","CarregadoEm","CarregadoPor","StatusProducao","EnviadoProducaoEm","EnviadoProducaoPor","OQueMudou","Fonte"
"NETFRAMEWORK4_8_1.ZIP","OUTROS","0","31/07/2024 14:48:44","N/A","31/07/2024 14:48:46","FRANCISCO SCHWARZ MORAES","Nao confirmado","","",".Net Framework 4.8.1 - Usado em alguns casos em Windows Server 2022 quando não é possível com .Net Framework 4.8","Portal Gerencial Weber - ultimas versoes beta"
"PDVDLL.ZIP","PDV","1","12/05/2025 20:18:36","180","12/05/2025 20:18:37","WILSON WEBER","Producao confirmada","02/06/2025 09:02:42","FRANCISCO SCHWARZ MORAES","Removido os arquivos H_CLIE e H_PROD. | Obs:atualizar ecf_ws.zip","Portal Gerencial Weber - ultimas versoes beta"
"PROMIS.ZIP","ESTACAO","1","28/08/2026 19:52:43","228","28/08/2026 19:52:53","WILSON WEBER","Producao confirmada","03/09/2026 18:01:30","FRANCISCO SCHWARZ MORAES","Ajustado Problema no Fluxo de Lançamentos do Contas a Receber (Promis)","Portal Gerencial Weber - ultimas versoes beta"
"R4_FIREBIRD_25.ZIP","OUTROS","0","15/04/2024 14:28:07","N/A","15/04/2024 14:28:07","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Primeira versão, garantindo que o restore já torne o banco de dados com paginas de 16Mb.","Portal Gerencial Weber - ultimas versoes beta"
"R4_FIREBIRD_4.ZIP","OUTROS","0","11/06/2025 17:47:34","N/A","11/06/2025 17:47:34","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Primeira versão do R4 e R10 para Firebird 4.","Portal Gerencial Weber - ultimas versoes beta"
"R4_SQLITE3.ZIP","OUTROS","0","21/06/2024 15:16:40","N/A","21/06/2024 15:16:39","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Aplicação para realizar a recuperação do banco de dados SQLite, usado no PDV, exemplo: FechaPDV_CXA.dbw","Portal Gerencial Weber - ultimas versoes beta"
"SCANTECH.ZIP","VPN","1","27/08/2026 16:55:18","180","27/08/2026 16:55:20","JEFERSON DA ROSA","Producao confirmada","03/09/2026 18:01:08","FRANCISCO SCHWARZ MORAES","- Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - ultimas versoes beta"
"SCHEMAS.ZIP","COMUM","1","20/04/2026 09:39:59","N/A","20/04/2026 09:40:08","WILSON WEBER","Producao confirmada","04/05/2026 08:45:32","FRANCISCO SCHWARZ MORAES","Adicionado arquivo DANFeSimplificada","Portal Gerencial Weber - ultimas versoes beta"
"SERVIDOR.ZIP","VPN","1","15/09/2026 12:12:42","291","15/09/2026 12:13:13","WILSON WEBER","Nao confirmado","","","Adicionado Upds 293,294,295, 295R | No sw.exe upd  (mouse botao direito no botao aplicar, adicionado funcao manual de Reset estoque novo)","Portal Gerencial Weber - ultimas versoes beta"
"SINCEST.ZIP","ESTACAO","1","28/03/2024 09:59:28","N/A","28/03/2024 09:59:28","FRANCISCO SCHWARZ MORAES","Producao confirmada","09/07/2025 15:36:21","FRANCISCO SCHWARZ MORAES","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"SITEF32.ZIP.Z","PDV","1","15/05/2026 11:55:34","N/A","15/05/2026 11:55:14","FRANCISCO SCHWARZ MORAES","Producao confirmada","15/05/2026 11:57:19","FRANCISCO SCHWARZ MORAES","Atualizado dlls internas","Portal Gerencial Weber - ultimas versoes beta"
"TERMC1.ZIP","ESTACAO","1","07/07/2024 13:39:32","180","07/07/2024 13:39:33","WILSON WEBER","Producao confirmada","12/12/2024 09:13:42","FRANCISCO SCHWARZ MORAES","Recompilado para nova estrutura das pastas temp. Agora fica dentro de Log/temp/aaaa_mm\Diaxx\ para pode fazer a limpeza automatica da pasta temp. | Versão do site em 07/07/2024 13hrs.","Portal Gerencial Weber - ultimas versoes beta"
"TERMC2.ZIP","ESTACAO","1","07/07/2024 13:39:05","180","07/07/2024 13:39:05","WILSON WEBER","Producao confirmada","12/12/2024 09:14:42","FRANCISCO SCHWARZ MORAES","Recompilado para nova estrutura das pastas temp. Agora fica dentro de Log/temp/aaaa_mm\Diaxx\ para pode fazer a limpeza automatica da pasta temp. | Versão do site em 07/07/2024 13hrs.","Portal Gerencial Weber - ultimas versoes beta"
"TERMC3.ZIP","ESTACAO","1","07/07/2024 13:38:39","180","07/07/2024 13:38:39","WILSON WEBER","Producao confirmada","09/07/2025 15:24:35","FRANCISCO SCHWARZ MORAES","Recompilado para nova estrutura das pastas temp. Agora fica dentro de Log/temp/aaaa_mm\Diaxx\ para pode fazer a limpeza automatica da pasta temp. | Versão do site em 07/07/2024 13hrs.","Portal Gerencial Weber - ultimas versoes beta"
"TERMC4.ZIP","ESTACAO","1","07/07/2024 13:37:58","180","07/07/2024 13:37:58","WILSON WEBER","Producao confirmada","09/07/2025 15:26:14","FRANCISCO SCHWARZ MORAES","Recompilado para nova estrutura das pastas temp. Agora fica dentro de Log/temp/aaaa_mm\Diaxx\ para pode fazer a limpeza automatica da pasta temp. | Versão do site em 07/07/2024 13hrs.","Portal Gerencial Weber - ultimas versoes beta"
"TERMCOMP.ZIP","ESTACAO","1","07/07/2024 13:34:33","180","07/07/2024 13:34:33","WILSON WEBER","Producao confirmada","09/07/2025 15:27:23","FRANCISCO SCHWARZ MORAES","Recompilado para nova estrutura das pastas temp. Agora fica dentro de Log/temp/aaaa_mm\Diaxx\ para pode fazer a limpeza automatica da pasta temp. | Versão do site em 07/07/2024 13hrs.","Portal Gerencial Weber - ultimas versoes beta"
"TERMEST.ZIP","ESTACAO","1","06/04/2026 15:31:12","180","06/04/2026 15:31:16","WILSON WEBER","Producao confirmada","04/05/2026 08:46:18","FRANCISCO SCHWARZ MORAES","Nao funciona mais se flag estoque novo estiver true","Portal Gerencial Weber - ultimas versoes beta"
"TESTEC.ZIP","OUTROS","0","08/04/2024 15:54:24","N/A","08/04/2024 15:54:24","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versão disponível no beta em 21/06/2023","Portal Gerencial Weber - ultimas versoes beta"
"TROCADT.ZIP","ESTACAO","0","28/03/2024 09:37:43","180","28/03/2024 09:37:43","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Versao que estava no site dia 28/03/2024.","Portal Gerencial Weber - ultimas versoes beta"
"VASILHAM.ZIP","ESTACAO","1","04/02/2026 17:30:53","180","04/02/2026 17:31:00","WILSON WEBER","Producao confirmada","04/05/2026 08:52:32","FRANCISCO SCHWARZ MORAES","Erro na Gestão de Vasilhames, somente recompilado ja que nao consegui reproduzir","Portal Gerencial Weber - ultimas versoes beta"
"VIPAGAME.ZIP","OUTROS","0","29/08/2024 14:23:34","N/A","29/08/2024 14:23:35","FRANCISCO SCHWARZ MORAES","Nao confirmado","","","Correção da impressão de boletos não traz a mensagem quando é feita a impressão.  Quando seleciona as mensagens padrão que terão que aparecer no boleto, o app consegue inclui-las dentro do boletos no retaguarda no campo DEMONSTRATIVO. Porém ao realizar a impressão, a mensagem não aparecia em nenhuma parte da visualização do boleto.","Portal Gerencial Weber - ultimas versoes beta"
"VPNDLL.ZIP","VPN","1","11/07/2025 12:09:11","180","11/07/2025 12:09:11","WILSON WEBER","Producao confirmada","21/07/2025 09:08:14","FRANCISCO SCHWARZ MORAES","Retirado fbclient.dll do pacote","Portal Gerencial Weber - ultimas versoes beta"
"WDLLBOL.ZIP","ESTACAO","1","11/02/2026 16:18:07","180","11/02/2026 16:20:04","WILSON WEBER","Producao confirmada","04/05/2026 08:49:23","FRANCISCO SCHWARZ MORAES","1225 - Numero da Remessa ao Gerar incrementa + 1.","Portal Gerencial Weber - ultimas versoes beta"
"WDLLCOLE.ZIP","ESTACAO","1","16/07/2026 10:07:22","180","16/07/2026 10:07:26","WILSON WEBER","Producao confirmada","16/07/2026 17:59:32","FRANCISCO SCHWARZ MORAES","767 - Verificação de erro em query de Coleta em Pré-Conferencia  dllcole | Apos importacao, na funcao validação ajustado conexao com FB2.5 x FB4.0","Portal Gerencial Weber - ultimas versoes beta"
