"Aplicativo","DataHora","Data","Usuario","Descricao","StatusProducao","CriterioConfirmacao","EnviadoProducaoEm","EnviadoProducaoPor","VersaoListada","VersaoMinimaBanco","FonteBeta","FonteProducao"
"WGCRESCEVENDAS.ZIP","27/08/2026 16:50:20","27/08/2026","1190","- Recompilação do Projeto visando atualizar Utilitarios.cs","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGESTOQUE.ZIP","03/08/2026 10:37:15","03/08/2026","1077","Adicionado metodo GravaOrdemProducaoJsonTransacional na DLL para uso na Entrada de Notas em Y.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGESTOQUE.ZIP","04/08/2026 17:16:36","04/08/2026","1077","Ajustado componentes de tradução, demanda 408 insideops","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGESTOQUE.ZIP","20/08/2026 14:24:09","20/08/2026","1190","- Correção de layout e lógica no form de itens da Formula de Desmontagem. | - Ajustes pontuais na lógica do Estoque Novo","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGESTOQUE.ZIP","27/08/2026 15:55:13","27/08/2026","1190","- Correções no controle de Lotes e exibição de dados. | - Ajustes de layout e validações em pontos do projeto | - Recompilação do Projeto visando atualizar Utilitarios.cs","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGESTOQUE.ZIP","03/09/2026 11:57:35","03/09/2026","1190","- Ajuste no argumento da chamada via Menu","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGESTOQUE.ZIP","03/09/2026 15:19:04","03/09/2026","1190","- Remoção de mensagens de rastreio","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGESTOQUE.ZIP","08/09/2026 10:35:37","08/09/2026","1190","- Correção em comportamento ao editar Etapas de Ordem de Produção","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGFECHACX.ZIP","27/08/2026 17:45:45","27/08/2026","1190","Primeiro upload - Projeto base","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:01:12","FRANCISCO SCHWARZ MORAES","27/08/2026 17:45:41","181","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGFINANC.ZIP","04/08/2026 08:19:01","04/08/2026","1077","- Adicionado opção de configurar meio de pagamento e espécie de documento padrão por fornecedor na entrada de notas.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGFINANC.ZIP","12/08/2026 11:54:58","12/08/2026","1077","Ajuste na inclusão multipla CP/CR. | No modo FIXO, agora o dia é limitado ao último dia do mês. Assim, com vencimento-base em 30/08 e intervalo 30, a parcela de fevereiro será 28/02 (ou 29/02 em ano bissexto), sem exceção. | A regra foi aplicada tanto para CP quanto para CR.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGFINANC.ZIP","13/08/2026 08:39:07","13/08/2026","1077","Corrigido ordem de tabulação na inclusão múltipla.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGFINANC.ZIP","21/08/2026 13:58:39","21/08/2026","1077","Correção nos botões de configuração do layout DRE","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGFINANC.ZIP","26/08/2026 10:05:10","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Nao confirmado","Nao houve correspondencia exata com versao marcada como enviada para producao","","","","","Portal Gerencial Weber - alteracoes beta por intervalo de data",""
"WGFINANC.ZIP","27/08/2026 10:34:37","27/08/2026","1077","- Removido a opção ""Cadastros"" de utilitarios/configs e colocado como primeira opção da barra superior do menu do módulo. | - Adicionado opção de abrir Cadastro de carteiras | - Adicionado opção de abrir Cadastro de clientes/fornecedores | -- Ambos as opções acima validam a permissão de Ferramentas > Configura Menu.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:31","FRANCISCO SCHWARZ MORAES","27/08/2026 10:34:50","220","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
"WGHELPS.ZIP","26/08/2026 10:52:34","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Producao confirmada","Mesmo aplicativo e mesma data/hora de carregamento na pagina de ultimas versoes beta","03/09/2026 18:03:39","FRANCISCO SCHWARZ MORAES","26/08/2026 10:52:46","180","Portal Gerencial Weber - alteracoes beta por intervalo de data","Portal Gerencial Weber - ultimas versoes beta"
